FullState(4 3 0 3 2 4 1 4 1)
Iteration: 100
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
5 1 0,-00.6570,+00.0000,-00.5100,+00.0000,+00.0000,+00.0000
5 2 0,-00.7599,+00.0000,-00.3000,-00.5100,+00.0000,+00.0000
5 3 0,-00.5100,+00.0000,-00.6570,-00.6570,+00.0000,+00.0000
5 4 0,-00.5100,+00.0000,-00.3000,-00.3000,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+03.9000,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.8319,-00.7599,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.6570,-00.5100,-00.7599,+00.0000,+00.0000
1 3 1,+00.0000,-00.6570,-00.3000,-00.3000,+00.0000,+00.0000
1 4 1,+00.0000,-00.3000,+00.0000,-00.3000,+00.0000,+00.0000
1 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.6570,-00.7599,-00.7599,+00.0000,+00.0000,+00.0000
2 2 1,-00.7599,-00.7599,-00.6570,-00.6570,+00.0000,+00.0000
2 3 1,-00.5100,-00.5100,-00.5100,-00.7599,+00.0000,+00.0000
2 4 1,-00.3000,-00.3000,+00.0510,-00.3000,+00.0000,+00.0000
2 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+06.6300
3 1 1,-00.6570,-00.6570,-00.5100,+00.0000,+00.0000,+00.0000
3 2 1,-00.6570,-00.6570,-00.5100,-00.5100,+00.0000,+00.0000
3 3 1,-00.6570,-00.6570,-00.5100,-00.6570,+00.0000,+00.0000
3 4 1,-00.3000,-00.3000,-00.7599,-00.3000,+00.0000,+00.0000
3 5 1,-00.3000,-00.3000,+00.0000,-00.6570,+00.0000,+00.0000
4 1 1,-00.5100,-00.3000,-00.3000,+00.0000,+00.0000,+00.0000
4 2 1,-00.3000,-00.3000,-00.4259,-00.3000,+00.0000,+00.0000
4 3 1,-00.3000,+01.0800,-00.3000,+00.0000,+00.0000,+00.0000
4 4 1,-00.3000,-00.3000,+00.0000,-00.2954,+00.0000,+00.0000
4 5 1,-00.3000,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+03.9000
5 2 1,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 3 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151
5 4 1,-00.3000,+00.0000,+00.0000,-00.3000,+00.0000,+00.0000
5 5 1,-00.3000,+00.0000,+00.0000,-00.3000,+00.0000,+00.0000

FullState(1 5 1 2 0 3 1 5 3)
Iteration: 200
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+08.5410,+00.0000
1 2 0,+00.0000,-00.3000,+00.0000,-00.3000,+00.0000,+00.0000
1 3 0,+00.0000,-00.5100,-00.3000,-00.3000,+00.0000,+00.0000
1 4 0,+00.0000,-00.6570,-00.5100,-00.6570,+00.0000,+00.0000
1 5 0,+00.0000,-00.7599,+00.0000,-00.6570,+00.0000,+00.0000
2 1 0,+00.3324,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,-00.3000,-00.3000,+00.0000,-00.2954,+00.0000,+00.0000
2 3 0,-00.3000,-00.3000,-00.3000,-00.3000,+00.0000,+00.0000
2 4 0,-00.7599,-00.4506,+00.0000,-00.3000,+00.0000,+00.0000
2 5 0,-00.7599,-00.6570,+00.0000,-00.6570,+00.0000,+00.0000
3 1 0,-00.5054,-00.3000,+00.0000,+00.0000,+00.0000,+00.0000
3 2 0,-00.3000,-00.3000,+00.4687,+00.0000,+00.0000,+00.0000
3 3 0,-00.3000,+00.0000,-00.2438,+00.0000,+10.8151,+00.0000
3 4 0,+00.0000,-00.5100,+00.0000,+00.1373,+00.0000,+00.0000
3 5 0,-00.6570,-00.3000,+00.0000,-00.3000,+00.0000,+00.0000
4 1 0,-00.5100,-00.5100,-00.5100,+00.0000,+00.0000,+00.0000
4 2 0,-00.5100,-00.5100,-00.3000,-00.5100,+00.0000,+00.0000
4 3 0,-00.0923,-00.5100,-00.3000,+00.0000,+00.0000,+00.0000
4 4 0,-00.3000,-00.5100,-00.3000,-00.2733,+00.0000,+00.0000
4 5 0,-00.5100,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,-00.6570,+00.0000,-00.5100,+00.0000,+00.0000,+00.0000
5 2 0,-00.7599,+00.0000,-00.3000,-00.5100,+00.0000,+00.0000
5 3 0,-00.6303,+00.0000,-00.7599,-00.6570,+00.0000,+00.0000
5 4 0,-00.5100,+00.0000,-00.1590,-00.5100,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+06.6300,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9176,-00.9176,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.8319,-00.8319,-00.8824,+00.0000,+00.0000
1 3 1,+00.0000,-00.6570,-00.5100,-00.6570,+00.0000,+00.0000
1 4 1,+00.0000,-00.3000,-00.3000,-00.3000,+00.0000,+00.0000
1 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.8319,-00.8319,-00.8319,+00.0000,+00.0000,+00.0000
2 2 1,-00.8824,-00.7599,-00.7599,-00.7599,+00.0000,+00.0000
2 3 1,-00.5100,-00.5100,-00.5100,-00.8319,+00.0000,+00.0000
2 4 1,-00.3000,-00.3000,+00.0510,-00.3000,+00.0000,+00.0000
